Documento;Perplejidad;Burstiness;TTR;MTTR;Hapax_Ratio;Yule_K;MLS;CV_MLS;Flesch_Kincaid;FK_Varianza;Coherencia_Sem;Coherencia_Var;Ratio_Func_Cont;Clasificacion;Probabilidad_Humano
008ed118-d0b5-4f1d-a2ef-fdaa7be19fe0;105.85;0.249;0.699;0.833;60.9%;125.74;19.9;0.249;7.9;364.153;0.285;0.051;0.429;IA;60.0%
0092f519-85eb-41bc-9eda-0cc7ed7dcbb0;124.47;0.395;0.707;0.830;60.8%;103.48;20.4;0.395;15.5;365.748;0.244;0.037;0.374;HUMANO;85.0%
00930499-2021-4d95-a3f2-3b0053ead40c;118.14;0.431;0.630;0.830;49.8%;141.36;20.4;0.431;4.1;1451.029;0.289;0.010;0.425;HUMANO;95.0%
009a50d4-8a4d-4cc5-9964-a66511b8e1df;119.47;0.487;0.690;0.853;57.5%;93.80;11.7;0.487;33.0;1133.160;0.179;0.026;0.414;HUMANO;95.0%
009d2053-4bba-49ef-ae60-5ef67cd43e30;83.69;0.277;0.562;0.768;44.9%;199.80;21.7;0.277;18.5;883.854;0.358;0.011;0.431;IA;55.0%
009d313d-186b-4023-a396-8e5fabe03d0e;79.27;0.357;0.599;0.810;47.4%;165.73;17.0;0.357;15.8;329.498;0.328;0.022;0.418;HUMANO;75.0%
00a023f3-c02b-4590-b138-d9ae57248b0d;183.63;0.386;0.645;0.820;54.1%;119.83;15.0;0.386;3.9;747.352;0.342;0.034;0.436;HUMANO;70.0%
00a1a66e-094d-48bb-85b0-5fabb0cbdb2e;115.49;0.343;0.627;0.795;51.2%;155.44;25.1;0.343;12.1;405.752;0.365;0.025;0.453;HUMANO;75.0%
00a4095d-ee9b-4f32-a2e3-6c098712af6f;101.31;0.280;0.668;0.847;54.3%;106.92;23.2;0.280;14.5;189.657;0.318;0.019;0.408;HUMANO;65.0%
00a5d694-46ad-49ba-a2a0-82313738073f;121.17;0.362;0.667;0.840;55.2%;105.51;18.3;0.362;20.0;487.206;0.264;0.012;0.397;HUMANO;85.0%
00a85666-62f1-413f-b1d7-16da8833a113;85.60;0.343;0.613;0.808;51.2%;147.71;22.1;0.343;22.3;411.502;0.317;0.019;0.410;HUMANO;75.0%
00b2baed-d24c-446a-a363-13d4aa8a1d2c;99.90;0.337;0.674;0.790;53.8%;125.11;16.5;0.337;17.0;732.875;0.309;0.025;0.417;HUMANO;75.0%
00b811d5-4e1e-4909-a77a-d643dcae9b17;125.31;0.303;0.642;0.813;51.4%;127.64;17.7;0.303;20.6;571.830;0.324;0.041;0.439;HUMANO;75.0%
00bd7258-533d-47d5-bcd7-f4d008a106ea;125.60;0.365;0.716;0.827;62.1%;106.44;19.0;0.365;9.4;486.905;0.261;0.006;0.396;HUMANO;85.0%
00c61347-746f-4a53-a9a8-a0fc8b66b243;113.22;0.307;0.628;0.825;54.1%;138.65;19.1;0.307;28.3;221.176;0.344;0.040;0.450;HUMANO;75.0%
00c6243c-3f48-48ed-8ad2-d86d60b24809;117.99;0.381;0.461;0.740;31.7%;185.19;19.3;0.381;23.0;303.784;0.411;0.029;0.425;IA;75.0%
00ca4c0f-859c-4891-acdb-0698c2ded3e1;99.95;0.381;0.623;0.800;49.7%;133.84;17.0;0.381;22.5;1019.916;0.335;0.011;0.417;HUMANO;85.0%
00cde67f-6fb5-4cf9-bef9-380719f69d4f;133.48;0.302;0.650;0.827;52.8%;126.46;20.5;0.302;16.0;185.695;0.224;0.010;0.460;HUMANO;75.0%
00ce2e9e-9757-403c-8dbf-33234b632b9b;84.50;0.278;0.578;0.760;44.9%;151.31;20.9;0.278;16.4;300.901;0.407;0.034;0.444;IA;55.0%
00d05a74-bec1-4834-a0eb-29d75a93a784;71.96;0.400;0.690;0.807;56.1%;99.52;17.4;0.400;13.1;659.384;0.332;0.028;0.374;HUMANO;95.0%
00d874a1-ee5e-4e6f-9fe7-4c66681cd7ac;126.80;0.432;0.616;0.765;49.8%;142.27;18.0;0.432;13.2;503.992;0.248;0.045;0.424;HUMANO;95.0%
00db709f-42a2-484e-80bc-d06eab80c07d;119.47;0.470;0.675;0.820;57.5%;130.38;16.8;0.470;21.5;787.254;0.302;0.027;0.415;HUMANO;95.0%
00ddf941-2d74-41a6-b6f1-96ae765c2bfc;117.74;0.358;0.650;0.780;52.5%;129.69;18.1;0.358;23.9;292.822;0.242;0.038;0.456;HUMANO;85.0%
00e189ee-7ed8-4ea2-8b61-a05df4dc7a5b;102.11;0.535;0.615;0.780;45.1%;156.74;16.3;0.535;20.4;1334.932;0.310;0.033;0.390;HUMANO;95.0%
00eba044-6fff-4e32-8222-36f9003f5bba;110.04;0.369;0.773;0.820;67.0%;105.89;22.2;0.369;10.3;87.379;0.386;0.001;0.409;HUMANO;85.0%
00ec5c6f-c09e-49e6-b8ea-3b6d0ebb1af1;104.15;0.386;0.609;0.800;50.6%;153.10;21.5;0.386;15.6;478.673;0.288;0.018;0.427;HUMANO;85.0%
00ee3002-6c8c-42c5-9574-a028d4f53601;143.61;0.338;0.707;0.847;58.7%;103.27;17.0;0.338;11.9;566.875;0.245;0.014;0.413;HUMANO;75.0%
00f6ae23-92f8-440d-9bff-016cdbd5a017;69.64;0.273;0.707;0.840;60.3%;103.05;19.7;0.273;10.1;534.546;0.310;0.029;0.397;HUMANO;65.0%
010d7342-584d-435d-99ec-6e5cdf63b1f0;172.72;0.566;0.644;0.807;49.2%;120.06;12.0;0.566;14.0;524.652;0.270;0.031;0.387;HUMANO;80.0%
0111d1b7-d3f9-4f36-b414-3a4c81961e18;122.46;0.343;0.696;0.847;58.0%;99.51;20.3;0.343;16.1;519.496;0.385;0.023;0.409;HUMANO;75.0%
0112b6c3-2949-4902-8763-ab3895b546d4;78.57;0.383;0.543;0.787;41.0%;155.24;20.3;0.383;21.1;1013.483;0.361;0.018;0.448;HUMANO;75.0%
01179b99-2c48-49d5-b299-ba57d31ab919;121.55;0.475;0.649;0.820;53.5%;145.08;15.8;0.475;30.9;807.343;0.280;0.008;0.396;HUMANO;95.0%
011c3e37-dfd3-4bb6-82d2-677af086576c;74.60;0.398;0.622;0.770;52.0%;154.67;17.9;0.398;32.0;260.443;0.333;0.022;0.427;HUMANO;85.0%
011dfb31-5a42-41d0-aff6-f698c067e681;137.79;0.341;0.665;0.847;54.5%;116.22;16.0;0.341;24.5;525.062;0.263;0.021;0.450;HUMANO;75.0%
0123feb9-02eb-46bf-9cda-4242c3b1fb03;77.34;0.305;0.580;0.795;42.4%;143.72;19.2;0.305;22.4;560.958;0.316;0.014;0.463;IA;65.0%
0131d2be-0cbd-4d70-9756-390a07327e3b;86.97;0.394;0.698;0.813;56.8%;128.03;14.8;0.394;25.2;499.720;0.197;0.051;0.401;HUMANO;85.0%
0140c45e-d96e-4e49-923f-dd18984e8405;83.08;0.399;0.604;0.770;47.0%;145.68;20.2;0.399;13.5;402.514;0.452;0.011;0.424;HUMANO;85.0%
0141bc4a-c95e-4b32-aa8e-97937059cd5b;117.39;0.201;0.647;0.810;54.9%;141.05;20.1;0.201;27.0;435.029;0.399;0.023;0.419;HUMANO;60.0%
01452e19-2bdc-4fde-8448-f761dfc59a57;80.32;0.205;0.650;0.830;55.3%;115.01;20.8;0.205;14.1;388.062;0.345;0.017;0.398;HUMANO;60.0%
01468211-1ab2-48b5-994a-0011dbc09e36;144.98;0.320;0.670;0.827;56.4%;123.36;16.1;0.320;20.4;282.659;0.324;0.032;0.415;HUMANO;75.0%
014db6d3-658b-4904-b61f-6e8309101c9f;135.81;0.193;0.665;0.815;57.1%;149.07;19.5;0.193;19.9;219.815;0.276;0.024;0.415;HUMANO;60.0%
01505b45-1f78-43eb-911d-3f99175a9006;105.07;0.436;0.622;0.800;50.0%;146.91;16.9;0.436;25.1;298.333;0.299;0.021;0.444;HUMANO;95.0%
01592941-4a36-4a87-8595-af2bc3e290f8;140.06;0.378;0.653;0.807;53.3%;152.02;18.5;0.378;29.9;669.826;0.248;0.013;0.382;HUMANO;85.0%
015b1c89-ca11-41b8-af58-2a8af6e6e863;159.33;0.280;0.730;0.840;60.3%;88.53;18.0;0.280;17.6;488.038;0.309;0.027;0.383;IA;50.0%
015c9e77-ab62-4146-b86a-d04d81c50957;81.28;0.285;0.671;0.825;56.3%;127.84;19.7;0.285;11.3;553.036;0.358;0.015;0.394;HUMANO;65.0%
015d7381-6da4-4757-9b0d-1f5795362688;105.25;0.548;0.625;0.760;51.6%;200.74;24.2;0.548;21.9;458.632;0.281;0.023;0.458;HUMANO;95.0%
0169ceb5-6c25-44ea-a142-8e7176d64968;131.28;0.321;0.689;0.813;57.6%;126.40;22.4;0.321;19.9;172.314;0.290;0.024;0.401;HUMANO;75.0%
016e9c80-3f1f-4638-b3cc-f6172d89169d;121.47;0.334;0.629;0.773;52.3%;135.02;22.1;0.334;18.8;68.022;0.387;0.035;0.487;HUMANO;75.0%
016eb875-18f7-483e-87e8-158aa83d4474;108.00;0.635;0.544;0.720;44.2%;183.55;18.3;0.635;30.3;567.286;0.252;0.021;0.456;HUMANO;85.0%
0170e8c5-5056-43bf-b26d-a98bcc11093e;135.59;0.421;0.677;0.853;54.0%;106.38;19.2;0.421;15.9;753.140;0.201;0.021;0.376;HUMANO;95.0%
0171892e-dd8c-46a1-b5d2-b2132cdb021c;192.44;0.461;0.711;0.840;59.7%;95.49;16.8;0.461;13.3;680.143;0.195;0.014;0.396;HUMANO;80.0%
017782d0-80f9-4fb7-8617-b7376d321121;98.39;0.422;0.720;0.810;61.5%;124.21;13.2;0.422;14.9;2006.850;0.280;0.023;0.364;HUMANO;95.0%
0178f02f-6f99-4b88-bcbe-de7263a508ec;121.77;0.361;0.618;0.817;49.5%;144.81;19.1;0.361;15.0;303.407;0.302;0.022;0.402;HUMANO;85.0%
017acf83-8440-4874-acd7-0efc43af509e;94.87;0.261;0.685;0.790;58.2%;165.13;24.7;0.261;-12.6;196.171;0.482;0.023;0.404;HUMANO;65.0%
017b3dfd-d41c-4b79-88f7-5f2cf2d98edb;88.62;0.345;0.723;0.833;63.9%;143.18;22.3;0.345;-0.1;443.074;0.231;0.006;0.419;HUMANO;75.0%
017e202c-61c2-45b4-9539-99a9a39de0f7;109.42;0.541;0.698;0.813;58.7%;144.45;17.3;0.541;20.5;222.444;0.391;0.025;0.370;HUMANO;95.0%
01866583-58c4-4093-b43e-05c044237e84;139.71;0.276;0.643;0.835;54.0%;125.20;16.7;0.276;30.0;254.992;0.297;0.024;0.451;HUMANO;65.0%
0188ac67-3f2b-4502-83dd-d558b5aa122b;130.74;0.156;0.659;0.780;56.0%;172.68;20.6;0.156;21.5;73.127;0.339;0.037;0.418;HUMANO;60.0%
0195aa77-1519-4e6f-b3f2-d2e4c324043d;82.90;0.264;0.654;0.773;53.8%;143.70;20.6;0.264;28.5;204.345;0.356;0.021;0.401;HUMANO;65.0%
01984a59-1994-4ca4-bfc3-cc825c75f0ad;147.75;0.238;0.619;0.793;49.4%;173.04;22.0;0.238;6.2;207.742;0.510;0.003;0.460;IA;60.0%
019b3e5b-e5d4-4ecf-ba18-dba6f8f17168;75.15;0.693;0.584;0.760;43.5%;186.72;12.1;0.693;35.7;602.757;0.385;0.020;0.453;HUMANO;85.0%
019ec4b7-1b15-4cf1-bb2c-61b21780f632;146.70;0.372;0.651;0.835;55.0%;133.87;16.0;0.372;30.3;644.319;0.306;0.021;0.422;HUMANO;85.0%
01a3ffb9-7878-411b-8949-9fca6a004a2b;82.52;0.393;0.639;0.795;50.5%;154.40;15.1;0.393;25.1;573.533;0.228;0.028;0.361;HUMANO;85.0%
01b1772e-1de3-43cd-bdc0-a527289ae4fc;105.37;0.332;0.648;0.833;52.8%;135.35;14.6;0.332;10.8;951.628;0.255;0.016;0.407;HUMANO;75.0%
01b17b9e-e8dd-4488-a760-64427b23d4cf;83.86;0.512;0.609;0.792;48.8%;150.76;13.1;0.512;14.3;795.960;0.344;0.047;0.402;HUMANO;95.0%
01b77f51-ac11-4b11-822c-bfe2888977e0;87.67;0.423;0.561;0.752;45.5%;171.23;13.8;0.423;33.4;621.879;0.188;0.026;0.478;HUMANO;85.0%
01bbe2c6-fe6a-49a7-b84d-90a59c88fe34;56.45;0.387;0.640;0.760;54.5%;183.69;16.4;0.387;25.3;264.629;0.428;0.030;0.472;HUMANO;85.0%
01be5a9f-067f-491d-bff9-03d39253f449;137.35;0.285;0.707;0.820;61.3%;125.33;21.4;0.285;-2.7;644.102;0.255;0.013;0.413;HUMANO;65.0%
01c0b9aa-ad3b-4010-b3ec-4a57599c6413;84.66;0.286;0.620;0.775;52.5%;190.00;18.4;0.286;27.7;547.027;0.220;0.037;0.450;HUMANO;65.0%
01c41afc-537d-4744-8f87-d3f566017128;154.45;0.257;0.671;0.850;58.3%;111.57;20.9;0.257;19.7;279.928;0.286;0.013;0.408;HUMANO;50.0%
01c566da-9fd5-44de-b33a-db4d2c6d9fad;76.75;0.334;0.648;0.795;54.7%;142.93;22.9;0.334;2.6;2231.248;0.387;0.039;0.397;HUMANO;75.0%
01c82473-431c-4265-99ea-c77a43e0f491;138.89;0.418;0.701;0.847;59.3%;110.44;21.4;0.418;11.5;561.662;0.363;0.027;0.419;HUMANO;95.0%
01c89c22-e4ca-468b-9e25-892383338335;74.52;0.414;0.707;0.820;60.7%;88.10;12.4;0.414;13.1;560.978;0.344;0.034;0.332;HUMANO;95.0%
01d11610-ca10-48ef-81b8-c3e2fa4e9a7e;122.51;0.418;0.622;0.800;52.4%;142.20;19.7;0.418;20.9;520.723;0.230;0.045;0.451;HUMANO;95.0%
01d77134-9948-40da-9b6c-4f5b30782f18;116.67;0.399;0.692;0.873;55.1%;94.51;17.7;0.399;10.1;188.974;0.330;0.021;0.397;HUMANO;85.0%
01e13dd2-c059-49f1-ae66-8aa4f1217998;94.45;0.308;0.645;0.812;55.1%;138.13;19.4;0.308;22.4;490.276;0.316;0.008;0.396;HUMANO;75.0%
01e3416b-e0e5-488d-92bd-09898230605b;147.90;0.334;0.654;0.793;54.2%;178.52;16.5;0.334;17.2;321.620;0.255;0.015;0.453;HUMANO;75.0%
01e48671-de92-4970-a3cc-c359a66a92d8;91.87;0.495;0.567;0.800;44.3%;166.49;18.0;0.495;23.5;427.085;0.352;0.041;0.415;HUMANO;85.0%
01e581f9-e88b-49b2-bdcc-92aef45d84b3;84.59;0.319;0.648;0.820;49.8%;116.44;15.3;0.319;8.8;457.918;0.262;0.025;0.379;HUMANO;75.0%
01ed14e5-b104-47ab-add4-66f33026ee84;151.53;0.514;0.683;0.807;56.9%;124.06;18.7;0.514;20.7;251.697;0.214;0.031;0.455;HUMANO;80.0%
01ef27f4-6fc2-4d47-b43c-ab0744e6bf29;107.69;0.530;0.615;0.820;48.4%;132.27;17.5;0.530;33.7;275.365;0.317;0.032;0.425;HUMANO;95.0%
01f3f019-2ab4-4009-ba1d-416c47855928;52.69;0.536;0.646;0.825;50.5%;107.93;16.1;0.536;10.3;350.595;0.262;0.017;0.379;HUMANO;95.0%
01f66e8a-564b-408e-8697-9abcd5cade74;109.69;0.317;0.646;0.805;55.3%;175.32;19.2;0.317;11.4;959.875;0.259;0.025;0.422;HUMANO;75.0%
01f89fc0-0476-466b-a711-c2c72dbbdd91;133.85;0.438;0.701;0.850;57.0%;85.16;18.4;0.438;27.6;425.840;0.402;0.035;0.327;HUMANO;95.0%
01fc6b64-0c7a-40fd-9c02-99eb0de24eeb;96.87;0.532;0.584;0.789;47.4%;144.95;17.7;0.532;21.0;806.539;0.423;0.014;0.394;HUMANO;85.0%
020c07da-6e4b-4781-977a-47bc35ec79ab;105.92;0.349;0.639;0.773;53.6%;140.34;14.4;0.349;38.1;654.596;0.318;0.011;0.432;HUMANO;75.0%
0210e5ca-b89f-42c9-acc5-f81c2fd3bcea;196.62;0.327;0.626;0.785;52.7%;171.38;17.9;0.327;23.6;433.126;0.237;0.024;0.432;HUMANO;60.0%
02125db7-063c-4c63-8800-fbaa14c6a20b;114.77;0.492;0.639;0.830;55.8%;115.68;19.7;0.492;29.9;796.778;0.309;0.018;0.472;HUMANO;95.0%
02150881-f894-421d-88ac-86a032773d9d;96.13;0.369;0.672;0.810;58.0%;119.34;15.9;0.369;25.0;369.389;0.256;0.033;0.403;HUMANO;85.0%
021d0305-c453-417a-9a44-ed2780df54cb;48.91;0.388;0.606;0.760;43.7%;153.74;20.4;0.388;13.4;879.250;0.485;0.041;0.415;HUMANO;70.0%
021ffd61-7ae5-4aea-b4cf-02fbb5e53821;73.39;0.309;0.627;0.815;50.5%;144.18;19.0;0.309;19.1;696.141;0.205;0.015;0.441;HUMANO;75.0%
0223fb34-a989-4b3f-b68d-4c6435a7e51b;146.32;0.313;0.628;0.840;51.1%;110.41;17.9;0.313;8.7;813.925;0.337;0.022;0.422;HUMANO;75.0%
022a1f5c-1c14-4e7a-abbf-482f6742c62a;161.68;0.335;0.710;0.890;61.8%;77.30;14.9;0.335;25.0;642.631;0.236;0.028;0.373;HUMANO;60.0%
022e3b4c-2a4c-4825-bda2-80b9cfec2df7;99.16;0.458;0.685;0.780;55.9%;149.34;18.7;0.458;22.5;413.065;0.252;0.054;0.450;HUMANO;95.0%
02348054-9170-4104-8c06-285ff50489a3;113.38;0.335;0.651;0.813;54.4%;137.25;21.4;0.335;15.4;308.620;0.348;0.043;0.432;HUMANO;75.0%
02364f44-800a-411f-afb3-d0934d1a743a;150.26;0.308;0.641;0.860;49.0%;89.20;18.1;0.308;7.2;579.007;0.344;0.014;0.355;HUMANO;60.0%
0236d01c-b1c4-470a-a6b9-0dccff0035a5;98.21;0.365;0.621;0.812;50.6%;151.85;18.4;0.365;20.7;505.831;0.351;0.014;0.411;HUMANO;85.0%
023956a2-23a2-47fc-86d3-be81135c22e4;64.79;0.252;0.678;0.780;58.6%;141.37;35.2;0.252;10.3;40.022;0.386;0.010;0.385;HUMANO;65.0%
023fc93d-49dc-4515-bb86-d5e3913aaaf8;113.16;0.257;0.645;0.795;55.8%;150.67;16.6;0.257;30.5;140.148;0.274;0.015;0.416;HUMANO;65.0%
02432330-9b15-4771-b76e-ce61daf1d95e;122.02;0.271;0.677;0.807;59.3%;132.67;19.0;0.271;17.4;416.582;0.324;0.036;0.425;HUMANO;65.0%
02469b29-5666-41a5-a9e6-b0b61a2a413e;148.30;0.310;0.740;0.840;63.0%;86.32;21.3;0.310;7.5;543.705;0.364;0.014;0.370;HUMANO;75.0%
0246a862-3b80-4a24-b77c-9117086beed4;149.66;0.320;0.685;0.848;58.5%;104.73;17.5;0.320;20.8;413.444;0.302;0.019;0.365;HUMANO;75.0%
0248b7bd-6e37-4e9e-8b49-45d7ae84ef1b;55.54;0.376;0.620;0.765;52.4%;193.69;16.5;0.376;25.3;499.751;0.318;0.013;0.462;HUMANO;85.0%
024c9e84-c64c-4e22-bbd6-448ffbae64b7;68.77;0.299;0.573;0.767;41.7%;163.85;19.3;0.299;24.3;350.063;0.419;0.021;0.448;IA;55.0%
02527e28-a4fd-4b9f-b8d1-89af9df3b13f;99.99;0.354;0.614;0.815;48.4%;151.70;20.6;0.354;14.3;352.874;0.280;0.019;0.423;HUMANO;85.0%
02580def-c31d-482a-8a4f-03730f7150c7;101.14;0.425;0.658;0.820;54.1%;112.00;16.0;0.425;15.7;839.140;0.259;0.020;0.423;HUMANO;95.0%
0268ed76-f8ae-4fa3-8aaa-f6d8d440aaf9;91.92;0.368;0.645;0.815;53.0%;135.88;18.3;0.368;25.8;820.180;0.299;0.025;0.427;HUMANO;85.0%
02707ffd-1271-4305-a4ac-affcc1106d24;108.13;0.382;0.581;0.800;46.8%;154.52;20.3;0.382;16.4;244.213;0.349;0.023;0.442;HUMANO;75.0%
0276e327-cc68-4231-beb2-c0f02fe050fa;183.44;0.273;0.664;0.813;55.9%;167.94;19.8;0.273;25.2;706.048;0.245;0.031;0.428;HUMANO;50.0%
0278371d-a20d-460b-b24f-09e655920ab3;161.96;0.453;0.706;0.827;60.8%;135.85;13.9;0.453;30.7;304.468;0.194;0.035;0.418;HUMANO;80.0%
027a84ea-3a57-4e96-aa2a-62bdbd12aee0;208.62;0.389;0.560;0.760;40.8%;142.08;15.2;0.389;32.3;466.324;0.364;0.019;0.396;HUMANO;50.0%
027eb7c7-0b5f-43b6-b2f7-a4da1c6457a5;132.52;0.303;0.682;0.860;55.8%;104.06;19.9;0.303;8.7;402.689;0.403;0.015;0.378;HUMANO;75.0%
027edb7c-493e-4adf-9686-dddd3c7aafc2;104.30;0.212;0.673;0.840;55.1%;118.70;19.9;0.212;20.1;120.298;0.333;0.018;0.388;HUMANO;60.0%
02831c62-dafa-4355-9954-0e94ef9cce28;124.79;0.262;0.652;0.773;52.9%;137.84;17.4;0.262;28.4;359.695;0.352;0.017;0.417;HUMANO;65.0%
0283f9d4-3794-4d85-9e37-a3d799e98433;193.96;0.333;0.665;0.860;54.1%;107.88;19.9;0.333;18.0;223.954;0.282;0.046;0.402;HUMANO;60.0%
0284c152-bb57-47e3-a7ee-ccb574306f9c;139.24;0.390;0.677;0.813;58.1%;149.84;19.5;0.390;7.5;534.678;0.383;0.003;0.432;HUMANO;85.0%
0285456a-1f5d-4948-a00c-c13e677a1b71;137.77;0.326;0.670;0.840;57.1%;114.54;20.7;0.326;20.0;519.120;0.272;0.020;0.419;HUMANO;75.0%
028db060-091c-468a-991d-f7a4a0dd1f33;162.35;0.265;0.602;0.785;49.2%;215.00;17.8;0.265;16.7;272.210;0.315;0.016;0.443;HUMANO;50.0%
028f6255-dc63-478c-b61e-2565ba827834;125.93;0.433;0.682;0.807;56.2%;120.09;16.9;0.433;28.2;363.624;0.333;0.016;0.369;HUMANO;95.0%
02931efc-7a8c-4e12-b054-4fec7cd3985e;114.76;0.241;0.690;0.835;58.0%;115.50;25.4;0.241;13.5;416.173;0.423;0.008;0.395;HUMANO;60.0%
02975218-436c-4d8f-8c50-8314b9ff9249;131.89;0.250;0.629;0.810;49.3%;132.30;16.2;0.250;18.8;399.972;0.287;0.022;0.439;HUMANO;60.0%
02992a62-03d8-440e-a2b5-b82b7d390e38;125.49;0.477;0.665;0.827;54.3%;128.97;19.3;0.477;19.5;467.534;0.345;0.034;0.405;HUMANO;95.0%
029beab8-31f1-4207-9a0f-e455c0cc006f;159.01;0.165;0.709;0.833;57.6%;94.77;18.4;0.165;15.3;298.087;0.315;0.034;0.406;IA;45.0%
02a2c124-80f4-4f4f-a91b-2c78d4b1cb95;99.17;0.429;0.556;0.745;42.9%;226.06;17.6;0.429;27.2;287.788;0.340;0.021;0.454;HUMANO;85.0%
02a7ad3e-cc1c-409a-89c2-369aeafe15de;123.32;0.214;0.669;0.820;56.2%;145.31;20.2;0.214;24.4;189.166;0.366;0.015;0.425;HUMANO;60.0%
02ab66fb-6f90-4a67-99b6-05245a181b59;124.78;0.429;0.647;0.810;54.4%;157.63;20.5;0.429;21.0;153.336;0.367;0.018;0.441;HUMANO;95.0%
02b33a17-3bf3-411f-a6bc-d25f476ac760;177.37;0.361;0.667;0.813;56.1%;149.11;19.3;0.361;23.4;310.003;0.365;0.014;0.439;HUMANO;70.0%
