Documento;Total_Evaluaciones;Consenso;Conteo_Si;Conteo_No;Conteo_Duda;David_Resultado;David_Texto_Conflictivo;David_Observaciones;Elena_Resultado;Elena_Texto_Conflictivo;Elena_Observaciones;Julian_Resultado;Julian_Texto_Conflictivo;Julian_Observaciones;Octavi_Resultado;Octavi_Texto_Conflictivo;Octavi_Observaciones;Santiago_Resultado;Santiago_Texto_Conflictivo;Santiago_Observaciones;lia_Resultado;lia_Texto_Conflictivo;lia_Observaciones;Todos_Textos_Conflictivos
0a3f8b54-7c9a-4e80-9a84-c0af46aa8a85;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
0aedd0a6-2a08-42c1-8e51-35c3a3ed398e;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
0b74a278-c6d8-4a69-8b81-1e9f6ef838cd;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
0becf542-4c2c-45e2-bfbe-0044201fc80d;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
0e4ff56d-885d-433c-8ebd-e6e1f7ceeebb;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
0eea0367-8d01-4848-8c5b-4d472017c569;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
0f0d45e2-ee11-4151-90d4-60bcbc1ae688;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
0f620a81-b2ad-45cc-820a-ec72bbca63ca;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
0f9f30bb-99b2-4e37-9654-f9b4fcc7ae71;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
0fdbd751-3bcb-4970-a84e-e80709bfee38;2;No;0;2;0;;;;No;2024-789123;;;;;No;El contacto asistencial principal queda registrado bajo la referencia -2024-789123;;;;;;;;El contacto asistencial principal queda registrado bajo la referencia -2024-789123 | 2024-789123
0ffe34cf-9d76-4132-a772-d7f747dfe53a;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
10539201-41d7-425a-bd40-e1cc422aa307;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
10980787-195b-47b6-bcbc-f9f032647bca;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
10a74980-7c0e-4f3d-a87a-0c2970a8ea88;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
10fe6eb8-ac25-4e34-b005-553e6e4a89ba;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
118ecf18-2b73-4328-b384-0b22e8d195e1;2;No;1;1;0;;;;;;;No;"""Cl�nico San Carlos""";;Si;;;;;;;;;"""Cl�nico San Carlos"""
125a02a1-4ac1-42da-baa8-52ffee29f02f;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
13661eba-d9c3-47fd-8cb2-d2e8516e0556;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
179e3c3a-afe0-466a-a7a6-6fe9ec05ab71;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
17febf6a-c6f8-44ae-ace9-d819b3be7ba2;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
18eceeaa-f6c4-4103-9cd8-1b0040264ca9;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
18ff0919-6582-4a6c-a128-0c6ce9b86a03;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
1940ca83-ed0e-4ab0-b092-ff8715b379ae;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
1ab1bb66-0acb-46d7-bd52-d639f6935424;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
1abcab9f-02d9-4a49-b731-4fa67a05eac7;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
1ae380b6-93c9-4929-a381-8ff2f3a43926;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
1c5c0da6-9c87-449b-a967-3008a9455c6b;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
1c9e55be-28c9-4561-a272-625c15ea02a7;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
1ce8c145-b6d1-4dfd-aa1b-f1f348664be2;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
1db3196b-17c3-4e46-b5c4-9be22f22a96a;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
1df373dd-096b-4d7d-ad63-976eb3b0e34b;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
1e4d79c4-692a-4541-8758-bb1ac3c5f968;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
1e50d343-5d08-45a8-84a3-5ec662b2bfe4;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
1ed4680d-411f-49bd-8c28-e154a8cff691;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
1f053bb0-f9d0-4fd3-90c6-2f01deac29ca;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
1fbe0213-a6b6-45b3-bcf4-d69c2a2fccbd;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
217dd127-8b5e-477e-8aea-9496ac6256cd;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
2223e299-5407-40ef-98ad-b1b664e5f833;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
2286b5bd-36e1-4fbf-8070-34a887c1dd7c;2;No;1;1;0;No;General de Madrid;;;;;;;;Si;;;;;;;;;General de Madrid
23c8f292-0ee5-4645-bf1c-68fd8ce6d70c;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
242217e6-4b31-445a-bf98-2e51709042fe;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
258d73fb-ed39-48a9-8171-5d67ea8b6ff8;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
26aa8f66-6656-4665-a78d-1df1efe8d6d8;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
27021450-595f-4b31-ac56-cb59ea9d34de;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
274ab7c1-993b-4b56-bd9b-de2c2a55ea0c;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
2898000b-ffdc-4a0d-9b7b-ec5a875c8647;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
28d0d4f0-86f1-4016-b07c-207ebb8693e4;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
2aa49a2d-027f-415d-9036-72f1de3f4c76;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
2aad4ddc-02e8-4bd1-b049-5710743ae21e;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
2b15749c-97cc-46ad-bc69-abb04d368a31;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
2b8066fc-9ddb-46f1-96a7-bb2fbd7f1d12;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
2d719976-d6dc-43aa-abc4-2b2fa644c045;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
2d8db250-92b9-4afe-91aa-c44457ec11a1;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
2dcdaeb6-a174-45a2-a314-af3cbe5d8197;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
2ee50521-fec7-4d58-af5f-91a2a381e7b3;2;No;0;2;0;No;Cl�nico San Carlos;;;;;;;;;;;;;;No;Clínico San Carlos;;Cl�nico San Carlos | Clínico San Carlos
2eeca872-c3c2-4f44-a1dd-af586ff40195;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
2eeea7c7-ce26-473f-a5b6-d40739bc905d;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
2f8f1946-e247-485e-b2c8-f832cb2303a1;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
309270fa-d864-42c8-89c7-acc782bb0610;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
314b623b-4a96-4175-911e-c470a4739067;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
314db32b-f57d-4da5-96a6-fe04a7228a3d;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
31a192b2-87be-4695-ab9a-ba8745429373;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
3263aed6-f17a-4f55-a775-1cb6cea0dce7;2;No;1;1;0;;;;;;;;;;;;;No;La paciente es de nacionalidad espa�ola;;Si;;;La paciente es de nacionalidad espa�ola
32ed92b1-415f-446b-989a-46542f5623d9;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
3403f5e2-7a0a-46f2-b325-f71bba502d61;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
346fb63a-6c93-4c27-8ac5-cb629de10e4f;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
34d9cbaf-bb49-4ad5-a958-6651c2a28d01;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
355a7757-fb56-40c3-89c4-597b0e262be6;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
359579eb-28e3-433c-85b9-a1bf1898aa96;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
35f12c32-95d8-45cc-b381-f62d3bcf61ae;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
365125e0-6c6d-4bc0-a47a-dbb2029b6f3f;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
38093d3a-e675-46f3-b50f-22d59b90dcbf;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
380a5093-582a-42e9-b575-fd1ff6a051de;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
389aaca1-de1e-44e5-91fe-e84dbe587d12;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
394975f6-da1b-411f-b90d-9c8b841f8fe0;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
398a7741-d7c4-417e-b5ea-f54242135885;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
3997a16d-7dca-4d62-8375-cc9a6023c1c6;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
39ae9f0c-b74c-44d0-b7a6-02cd7cfeaed2;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
39bd34ad-d604-4e5b-8503-27379dad827d;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
3a257100-0c06-4c41-870a-22a541f323f1;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
3a302fed-e731-4332-8d29-ca57fb595119;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
3a4c533c-cbdc-4fb9-9fa7-fbe36ad40769;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
3aa6434c-b1dc-4d94-9652-61c24e04d185;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
3b24b4ae-ed6d-4325-b127-b805a6562705;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
3c74a340-bd91-4af3-9873-332dd14d28e8;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
3ddfc6fd-4ac3-42d4-a398-8002fc5e0e85;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
3dea019a-f9b4-4538-8d7c-ae46d4114712;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
3df253f2-ae4b-40a7-b428-b18fdc7046b8;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
3f5c0a08-588a-40bc-8069-859bb2e07a79;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
3fa7d14f-e04f-48ed-8517-2672fb4342e9;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
403ac208-83ef-4674-a4f7-2a134f411ed1;2;No;0;2;0;No;nacionalidad espa�ola;;No;espa�ola;;;;;;;;;;;;;;espa�ola | nacionalidad espa�ola
407b4a29-c43b-4ea2-9033-d8fc5efb0eaf;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
41c16861-b77a-4acc-b2e2-0185b1395b3d;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
4240b756-c810-437c-b1f5-eae80c44c20e;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
426118f8-2a49-4c01-befd-3675ec516140;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
42639a1c-2c08-4a51-9207-3fbee51caac6;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
42788c4e-6434-4d34-a9bd-9217f5d96ce1;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
428c59df-f76e-48d0-8cb6-f950cf6c5ad9;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
42e57bb5-1716-4a6e-9398-4d58b1af6231;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
438c64f3-dc5a-4be8-8341-0776b51f22d0;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
43c4731e-04f0-4593-8212-27384caac75e;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
44085992-0003-46ef-8ec7-0724b6b85bae;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
44427aa2-e9d9-4fa1-b5eb-1893c9cb5b6b;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
453d0db1-f742-4a61-9c20-b24a0157db09;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
454504e0-53f8-429e-9d66-111e4da99dda;2;No;1;1;0;;;;No;B-45872315;;;;;;;;;;;Si;;;B-45872315
46b2ed53-f84d-4d06-beea-04d6be07ae1c;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
46ec87a5-4313-43d7-92e2-781f2ebc84a6;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
46edbc1f-ecf6-4092-b2dd-5a8459c0258a;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
471de598-c0a6-430f-9bc4-9214ad1ac091;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
47ec20d7-aff2-490d-bb48-8ebf6edd599a;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
4805532a-5475-4e07-b1ee-17c1abeefb4c;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
48ded335-0137-4892-a5f6-3d5fc488cf1b;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
494b8e58-0c2c-43cd-88ac-5596f4083767;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
49ff3c79-48ec-4152-aafc-fd7227c5cbde;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
4a87f0c2-3cdc-4ebe-9b27-a06f739dc5bb;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
4abda2d4-827f-4926-b3f5-ad511a7bbc67;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
4d426c42-7597-492d-bfc5-9852f06823ce;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
4e63866e-ceba-4a2b-ba38-d05e11691f82;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
4ff779b9-1ede-488d-acf4-c127db720954;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
52b9ad78-7ebc-496e-90bb-9e2944590057;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
53510662-89a3-4902-b616-5cd047940147;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
5353ff2a-cbbc-46d0-a7e1-642e9f58dcfe;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
5416fd46-69b9-4fc3-88dd-0bb38affd99d;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
55ac3438-04c6-4de2-b4f7-d7b6f7f76ed8;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
5760bccf-440d-498c-9321-7ef4e06e2dcd;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
57993781-0565-4259-9aeb-7b4775a92068;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
59fdc372-8eb6-4871-9290-cd4aec63c693;2;No;0;2;0;;;;;;;No;"""Cl�nico San Carlos""";;;;;;;;No;Clínico San Carlos;;"""Cl�nico San Carlos"" | Clínico San Carlos"
5a251fc3-8aff-4a01-87cb-2dabfc430715;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
5ac892bb-d4b6-4582-8c0e-0200b0ab41cb;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
5ad7f61e-28d7-4aaf-ad08-343e535ef4f3;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
5ae0472a-bd33-4958-9811-6c87f32a7ff5;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
5b363ae6-fa10-4175-bd21-4b4cc9abbefb;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
5b93e25b-24ce-468d-b203-0972d9bd11b8;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
5ce88e09-61c9-4a0a-a3d4-7dde74237b9f;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
5d1ca8c1-f9f6-46eb-9d99-7e37cbed52dc;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
5e151647-e316-4230-bd17-a238a12f3c08;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
5e1883ba-253a-4e1d-91d3-64a79eb79379;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
5f5808ed-322a-4792-bdc2-86fdab3cdfbb;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
5f7773af-a7b0-4db6-876e-d5c12c8fad7f;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
5fd3353b-4f4e-4bb5-897c-66c4d3c0d6d4;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
6003a16c-0223-4057-8b42-686db8b56ad7;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
6072162c-bfec-4673-bdf7-803b2af83a11;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
60e179f2-885a-429b-ba68-7badcd786401;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
61d71068-0408-409b-8774-324078ec4ccc;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
61e04b15-b64f-4420-a059-6f2efd81fd47;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
628a8ec5-ac25-4205-a576-65d7bd373bb7;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
62e9d405-6957-4b79-b9fe-51a0dc588f34;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
6374d861-84ac-4e4b-9014-4864a789c519;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
64222eba-4a86-428d-8706-3cad378c93d7;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
64aa2934-8759-4da3-86d4-d543072adbb2;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
64d9f10c-f365-4c56-adaa-32afc6f4ff77;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
66addf61-eb1c-4d28-a847-a9f7dec3186d;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
66ec16a6-fe83-42dd-9533-105bc639c3cc;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
67b28a72-23e2-45c8-a86f-8c2c440436eb;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
68415de9-399e-4da8-b550-4d6f2897210b;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
6997da90-4b7c-42e9-bc68-9d1ff6d8221d;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
6a0dc87c-1ded-4b75-b398-41f7cd3fc07f;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
6b433330-341a-45c1-a028-b26d1d2da03b;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
6b5344b1-6356-48a1-906d-6cfbd577a329;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
6bc8623b-5237-4163-9024-44c519f45511;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
6d0a4caf-f40a-4b4d-8f5c-bf53bd520bf0;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
71ba45b0-0175-4b50-88e7-8e946350fa44;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
72776397-323e-4997-837a-3f0d48304cc7;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
737749a5-f0fa-49c9-b2c4-aa283cca9345;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
73cf66d8-1d6f-49b4-8860-12e5c42edd01;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
745adc0c-a4a6-40f2-a14c-2ea94d8dbd8a;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
7462387a-f060-4385-a277-53d14bfe6bab;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
762e197e-5465-42e5-aa56-b3b5e679a44c;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
7785955d-8801-4fcc-a329-064b9c8aead2;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
7b0a9f60-f9bf-45c6-bcab-8e82aacde633;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
7c3b8041-9faa-40d3-854a-52dbf4a1f334;2;No;0;2;0;;;;No;ID-28763415;;No;"""ID-28763415""";;;;;;;;;;;"""ID-28763415"" | ID-28763415"
7d0a06b3-3e2e-432b-9b2c-a42c35d91949;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
7d337619-249e-4512-8434-cdd403c52899;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
7da1078a-3106-4cfa-87c8-6111a727e569;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
7dc614ce-070f-45f8-9695-20db2f295caf;2;Si;2;0;0;;;;Si;;;;;;;;;;;;Si;;;
7f16ac07-9d1f-4b42-8a25-c56feb6cf514;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
80087c96-0c34-49ff-a163-ef7b8741f806;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
8019a37b-ac19-4374-a893-2932bac6b54c;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
81e6bbca-f3d3-454b-8f28-2196407a8790;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
81f754a1-8c4d-46f0-b3f7-1d4083f1e5c9;2;No;0;2;0;No;General de Madrid, Cl�nico San Carlos;;No;General de Madrid,Cl�nico San Carlos;;;;;;;;;;;;;;General de Madrid,Cl�nico San Carlos | General de Madrid, Cl�nico San Carlos
820dfe2e-d971-41b4-a40c-a59cd824ba95;2;No;1;1;0;No;dada su formaci�n m�dica;;;;;;;;;;;;;;Si;;;dada su formaci�n m�dica
82637b76-2d3d-4d34-a78a-6d3dcd5b707d;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
829c89a4-97b8-49a1-858c-66edb4ab6701;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
82c20163-6954-4c1f-96fd-f9915e7c8fc1;2;No;0;2;0;No;Cl�nico San Carlos;;;;;;;;No;** Clínico San Carlos**;;;;;;;;Cl�nico San Carlos | ** Clínico San Carlos**
82dad273-dee9-4de6-b796-9bf00646f68f;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
82e749d3-915e-4cbe-963c-64a9fdd8df77;2;Si;2;0;0;Si;;;;;;;;;;;;;;;Si;;;
837c8136-6a0e-4553-8511-a7b16278a880;2;Si;2;0;0;;;;;;;Si;;;Si;;;;;;;;;
84de3504-2751-4286-a49e-e320d8065a68;2;Si;2;0;0;;;;;;;;;;Si;;;Si;;;;;;
863016ab-a8bb-433b-b2e1-bcd038609c67;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
86cde050-94b0-4e8b-b4b6-ebc91d0f67d6;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
87704a38-d8bb-4980-9bd8-b35aaa2e6bd4;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
883e6ef1-bee9-47e9-9610-b47177d887f1;2;Si;2;0;0;Si;;;Si;;;;;;;;;;;;;;;
885f1bba-717d-4890-98ad-05a6dcfeeedb;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
888e008b-9f65-4ab4-80a0-0c0a0b07c486;2;Si;2;0;0;;;;;;;;;;;;;Si;;;Si;;;
88edbbdc-e405-4443-93e1-4c5b82d2f473;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
